Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,E,Private,0.0,57.0,2.0,Shell_Recharge,34.24831915,-118.3879714,9/14/2023,1517,2024-01-31 22:07:01 UTC,CHADEMO J1772 J1772COMBO,US,59.0,49387.0
ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,E,Public,0.0,7.0,0.0,Non-Networked,34.040539,-118.271387,1/10/2023,1523,2023-02-14 15:54:11 UTC,J1772,US,7.0,49387.0
ELEC,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,E,Private,0.0,338.0,12.0,Non-Networked,34.059133,-118.248589,9/14/2023,1525,2024-01-31 22:07:01 UTC,CHADEMO J1772 J1772COMBO,US,350.0,49387.0
ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,E,Private,0.0,19.0,1.0,Non-Networked,33.759802,-118.096665,1/9/2024,1531,2024-01-31 22:07:01 UTC,CHADEMO J1772 J1772COMBO,US,20.0,49387.0
ELEC,LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,E,Private,0.0,10.0,0.0,Non-Networked,33.770508,-118.265628,1/9/2024,1552,2024-01-31 22:07:01 UTC,J1772,US,10.0,49387.0
ELEC,LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,E,Private - Government only,0.0,2.0,0.0,Non-Networked,34.30309,-118.480505,1/9/2024,1556,2024-01-31 22:07:01 UTC,J1772,US,2.0,49387.0
ELEC,LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,E,Private,0.0,46.0,1.0,Non-Networked,34.066801,-118.227605,1/9/2024,1572,2024-01-31 22:07:01 UTC,CHADEMO J1772,US,47.0,49387.0
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,E,Private,0.0,13.0,0.0,Non-Networked,34.036777,-118.368841,1/9/2024,1573,2024-01-31 22:07:01 UTC,J1772,US,13.0,49387.0
ELEC,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,E,Public,0.0,3.0,0.0,Non-Networked,34.06872,-118.064,9/14/2022,1583,2023-02-14 15:54:11 UTC,J1772,US,3.0,49387.0
ELEC,LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,E,Private,0.0,27.0,0.0,Non-Networked,34.039736,-118.236065,9/14/2023,1589,2024-01-31 22:07:01 UTC,J1772,US,27.0,49387.0
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,E,Public,0.0,1.0,0.0,Non-Networked,32.89947,-117.243,1/10/2023,6355,2023-02-14 15:54:11 UTC,J1772,US,1.0,49387.0
ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,E,Public,0.0,4.0,0.0,Non-Networked,33.909914,-117.459053,9/14/2023,6425,2024-01-31 22:07:01 UTC,J1772,US,4.0,49387.0
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,E,Public,0.0,16.0,0.0,Non-Networked,34.14762,-118.147111,10/12/2023,6505,2024-01-31 22:07:01 UTC,J1772,US,16.0,49387.0
